t,sym,px,qty,b1sz,b1px,a1px,a1sz
2020-04-06D09:05:10.631331000,2330,2730000,2,3,2730000,2735000,386
2020-04-06D09:05:10.733054000,2330,0,0,3,2730000,2735000,386
2020-04-06D09:05:10.808529000,2330,2730000,1,2,2730000,2735000,386
2020-04-06D09:05:10.919454000,2330,2730000,1,1,2730000,2735000,386
2020-04-06D09:05:11.024698000,2330,0,0,1,2730000,2735000,386
2020-04-06D09:05:11.151828000,2330,2735000,2,1,2730000,2735000,384
2020-04-06D09:05:11.163871000,2330,0,0,1,2730000,2735000,385
2020-04-06D09:05:11.185794000,2330,0,0,1,2730000,2735000,385
2020-04-06D09:05:11.208741000,2330,0,0,1,2730000,2735000,416
2020-04-06D09:05:11.311647000,2330,0,0,3,2730000,2735000,416
2020-04-06D09:05:11.389490000,2330,2735000,4,3,2730000,2735000,412
2020-04-06D09:05:11.472904000,2330,2730000,1,2,2730000,2735000,412
2020-04-06D09:05:11.747037000,2330,2730000,1,1,2730000,2735000,412
2020-04-06D09:05:11.817961000,2330,2730000,1,227,2725000,2735000,412
2020-04-06D09:05:11.887106000,2330,0,0,227,2725000,2735000,412
2020-04-06D09:05:11.923955000,2330,0,0,227,2725000,2735000,412
2020-04-06D09:05:11.926575000,2330,0,0,227,2725000,2735000,413
2020-04-06D09:05:12.006488000,2330,0,0,227,2725000,2735000,413
2020-04-06D09:05:12.123584000,2330,0,0,227,2725000,2730000,1
2020-04-06D09:05:12.146510000,2330,2730000,1,3,2730000,2735000,413
2020-04-06D09:05:12.169811000,2330,0,0,3,2730000,2735000,393
2020-04-06D09:05:12.170270000,2330,0,0,3,2730000,2735000,392
2020-04-06D09:05:12.171475000,2330,0,0,3,2730000,2735000,389
2020-04-06D09:05:12.171615000,2330,0,0,3,2730000,2735000,388
2020-04-06D09:05:12.172955000,2330,0,0,3,2730000,2735000,386
2020-04-06D09:05:12.173857000,2330,0,0,3,2730000,2735000,384
2020-04-06D09:05:12.191041000,2330,0,0,3,2730000,2735000,386
2020-04-06D09:05:12.192073000,2330,0,0,3,2730000,2735000,413
2020-04-06D09:05:12.196607000,2330,0,0,3,2730000,2735000,413
2020-04-06D09:05:12.197792000,2330,2730000,2,1,2730000,2735000,413
2020-04-06D09:05:12.199455000,2330,2730000,1,227,2725000,2730000,15
2020-04-06D09:05:12.203799000,2330,0,0,227,2725000,2730000,16
2020-04-06D09:05:12.213196000,2330,0,0,227,2725000,2730000,17
2020-04-06D09:05:12.213338000,2330,0,0,227,2725000,2730000,17
2020-04-06D09:05:12.254184000,2330,0,0,227,2725000,2730000,44
2020-04-06D09:05:12.254954000,2330,0,0,227,2725000,2730000,44
2020-04-06D09:05:12.261243000,2330,2725000,1,226,2725000,2730000,44
2020-04-06D09:05:12.274598000,2330,0,0,226,2725000,2730000,46
2020-04-06D09:05:12.275261000,2330,0,0,226,2725000,2730000,29
